Player Name,Team,Opponent,Attempts,Yards,Avg,Touchdowns
Josh Jacobs,LV,LAC,10,57,5.7,0
Josh Jacobs,LV,ARI,19,69,3.6,0
Josh Jacobs,LV,TEN,13,66,5.1,0
Josh Jacobs,LV,DEN,28,144,5.1,2
Josh Jacobs,LV,KC,21,154,7.3,1
Josh Jacobs,LV,HOU,20,143,7.2,3
Josh Jacobs,LV,NO,10,43,4.3,0
Josh Jacobs,LV,JAX,17,67,3.9,0
Josh Jacobs,LV,IND,21,78,3.7,1
Josh Jacobs,LV,DEN,24,109,4.5,0
Josh Jacobs,LV,SEA,33,229,6.9,2
Josh Jacobs,LV,LAC,26,144,5.5,1
Josh Jacobs,LV,LAR,27,99,3.7,1
Josh Jacobs,LV,NE,22,93,4.2,0
Josh Jacobs,LV,PIT,15,44,2.9,0
Josh Jacobs,LV,SF,17,69,4.1,1
Josh Jacobs,LV,KC,17,45,2.6,0
Derrick Henry,TEN,NYG,21,82,3.9,0
Derrick Henry,TEN,BUF,13,25,1.9,1
Derrick Henry,TEN,LV,20,85,4.3,1
Derrick Henry,TEN,IND,22,114,5.2,1
Derrick Henry,TEN,WSH,28,102,3.6,2
Derrick Henry,TEN,IND,30,128,4.3,0
Derrick Henry,TEN,HOU,32,219,6.8,2
Derrick Henry,TEN,KC,17,115,6.8,2
Derrick Henry,TEN,DEN,19,53,2.8,0
Derrick Henry,TEN,GB,28,87,3.1,1
Derrick Henry,TEN,CIN,17,38,2.2,0
Derrick Henry,TEN,PHI,11,30,2.7,0
Derrick Henry,TEN,JAX,17,121,7.1,1
Derrick Henry,TEN,LAC,21,104,5.0,1
Derrick Henry,TEN,HOU,23,126,5.5,1
Derrick Henry,TEN,JAX,30,109,3.6,0
Nick Chubb,CLE,CAR,22,141,6.4,0
Nick Chubb,CLE,NYJ,17,87,5.1,3
Nick Chubb,CLE,PIT,23,113,4.9,1
Nick Chubb,CLE,ATL,19,118,6.2,1
Nick Chubb,CLE,LAC,17,134,7.9,2
Nick Chubb,CLE,NE,12,56,4.7,0
Nick Chubb,CLE,BAL,16,91,5.7,1
Nick Chubb,CLE,CIN,23,101,4.4,2
Nick Chubb,CLE,MIA,11,63,5.7,1
Nick Chubb,CLE,BUF,14,19,1.4,0
Nick Chubb,CLE,TB,26,116,4.5,1
Nick Chubb,CLE,HOU,17,80,4.7,0
Nick Chubb,CLE,CIN,14,34,2.4,0
Nick Chubb,CLE,BAL,21,99,4.7,0
Nick Chubb,CLE,NO,24,92,3.8,0
Nick Chubb,CLE,WSH,14,104,7.4,0
Nick Chubb,CLE,PIT,12,77,6.4,0
Saquon Barkley,NYG,TEN,18,164,9.1,1
Saquon Barkley,NYG,CAR,21,72,3.4,0
Saquon Barkley,NYG,DAL,14,81,5.8,1
Saquon Barkley,NYG,CHI,31,146,4.7,0
Saquon Barkley,NYG,GB,13,70,5.4,1
Saquon Barkley,NYG,BAL,22,83,3.8,1
Saquon Barkley,NYG,JAX,24,110,4.6,0
Saquon Barkley,NYG,SEA,20,53,2.7,1
Saquon Barkley,NYG,HOU,35,152,4.3,1
Saquon Barkley,NYG,DET,15,22,1.5,0
Saquon Barkley,NYG,DAL,11,39,3.5,1
Saquon Barkley,NYG,WSH,18,63,3.5,1
Saquon Barkley,NYG,PHI,9,28,3.1,0
Saquon Barkley,NYG,WSH,18,87,4.8,1
Saquon Barkley,NYG,MIN,14,84,6.0,1
Saquon Barkley,NYG,IND,12,58,4.8,0
Miles Sanders,PHI,DET,13,96,7.4,1
Miles Sanders,PHI,MIN,17,80,4.7,0
Miles Sanders,PHI,WSH,15,46,3.1,0
Miles Sanders,PHI,JAX,27,134,5.0,2
Miles Sanders,PHI,ARI,15,58,3.9,0
Miles Sanders,PHI,DAL,18,71,3.9,1
Miles Sanders,PHI,PIT,9,78,8.7,1
Miles Sanders,PHI,HOU,17,93,5.5,1
Miles Sanders,PHI,WSH,12,54,4.5,0
Miles Sanders,PHI,IND,13,47,3.6,0
Miles Sanders,PHI,GB,21,1433,68.2,2
Miles Sanders,PHI,TEN,10,24,2.4,1
Miles Sanders,PHI,NYG,17,144,8.5,2
Miles Sanders,PHI,CHI,11,42,3.8,0
Miles Sanders,PHI,DAL,21,65,3.1,0
Miles Sanders,PHI,NO,12,61,5.1,0
Miles Sanders,PHI,NYG,11,33,3.0,0